review_time,action,manual_label,source_path,destination_path,image_name,parse_ok,camera,video_datetime,video_start,frame_number,fps,frame_timestamp,year,month,day,hour,minute
2026-06-25 15:40:02.067640,classify,discard,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202306222351.mp4_frame_00000.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/discard/10.0.11.2_202306222351.mp4_frame_00000.jpg,10.0.11.2_202306222351.mp4_frame_00000.jpg,True,10.0.11.2,202306222351,2023-06-22 23:51:00,0,26,2023-06-22 23:51:00,2023,6,22,23,51
2026-06-25 15:40:25.104118,classify,particulate,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307020246.mp4_frame_00200.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/particulate/10.0.11.2_202307020246.mp4_frame_00200.jpg,10.0.11.2_202307020246.mp4_frame_00200.jpg,True,10.0.11.2,202307020246,2023-07-02 02:46:00,200,26,2023-07-02 02:46:07.692308,2023,7,2,2,46
2026-06-25 15:46:18.455801,classify,unsure,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307030648.mp4_frame_00473.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unsure/10.0.11.2_202307030648.mp4_frame_00473.jpg,10.0.11.2_202307030648.mp4_frame_00473.jpg,True,10.0.11.2,202307030648,2023-07-03 06:48:00,473,26,2023-07-03 06:48:18.192308,2023,7,3,6,48
2026-06-25 15:46:40.000115,classify,unsure,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307031646.mp4_frame_01396.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unsure/10.0.11.2_202307031646.mp4_frame_01396.jpg,10.0.11.2_202307031646.mp4_frame_01396.jpg,True,10.0.11.2,202307031646,2023-07-03 16:46:00,1396,26,2023-07-03 16:46:53.692308,2023,7,3,16,46
2026-06-25 15:46:42.897285,classify,animal,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307051146.mp4_frame_00623.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/animal/10.0.11.2_202307051146.mp4_frame_00623.jpg,10.0.11.2_202307051146.mp4_frame_00623.jpg,True,10.0.11.2,202307051146,2023-07-05 11:46:00,623,26,2023-07-05 11:46:23.961538,2023,7,5,11,46
2026-06-25 15:46:45.531622,classify,particulate,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307090246.mp4_frame_01495.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/particulate/10.0.11.2_202307090246.mp4_frame_01495.jpg,10.0.11.2_202307090246.mp4_frame_01495.jpg,True,10.0.11.2,202307090246,2023-07-09 02:46:00,1495,26,2023-07-09 02:46:57.500000,2023,7,9,2,46
2026-06-25 15:46:47.364572,classify,particulate,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307130548.mp4_frame_01727.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/particulate/10.0.11.2_202307130548.mp4_frame_01727.jpg,10.0.11.2_202307130548.mp4_frame_01727.jpg,True,10.0.11.2,202307130548,2023-07-13 05:48:00,1727,26,2023-07-13 05:49:06.423077,2023,7,13,5,48
2026-06-25 15:46:49.591216,classify,particulate,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307132046.mp4_frame_01474.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/particulate/10.0.11.2_202307132046.mp4_frame_01474.jpg,10.0.11.2_202307132046.mp4_frame_01474.jpg,True,10.0.11.2,202307132046,2023-07-13 20:46:00,1474,26,2023-07-13 20:46:56.692308,2023,7,13,20,46
2026-06-25 15:46:51.517254,classify,particulate,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307150446.mp4_frame_00704.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/particulate/10.0.11.2_202307150446.mp4_frame_00704.jpg,10.0.11.2_202307150446.mp4_frame_00704.jpg,True,10.0.11.2,202307150446,2023-07-15 04:46:00,704,26,2023-07-15 04:46:27.076923,2023,7,15,4,46
2026-06-25 15:46:56.523925,classify,unsure,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unreviewed/10.0.11.2_202307160848.mp4_frame_01086.jpg,/Users/alopias/Desktop/Huyen-deePi/deePi-laptop/active_review_batch_001/unsure/10.0.11.2_202307160848.mp4_frame_01086.jpg,10.0.11.2_202307160848.mp4_frame_01086.jpg,True,10.0.11.2,202307160848,2023-07-16 08:48:00,1086,26,2023-07-16 08:48:41.769231,2023,7,16,8,48
