camera,year,month,day,hour,minute,frame_index,image_name,black_frame_id
10.0.11.2,2023,8,9,3,46,1706,black_0001__10.0.11.2__202308090346__frame_001706.png,1
10.0.11.2,2023,11,2,15,46,198,black_0002__10.0.11.2__202311021546__frame_000198.png,2
10.0.11.2,2023,7,1,10,48,163,black_0003__10.0.11.2__202307011048__frame_000163.png,3
10.0.11.2,2023,7,1,23,46,554,black_0004__10.0.11.2__202307012346__frame_000554.png,4
10.0.11.2,2023,9,11,11,46,1058,black_0005__10.0.11.2__202309111146__frame_001058.png,5
10.0.11.2,2023,8,29,7,46,1612,black_0006__10.0.11.2__202308290746__frame_001612.png,6
10.0.11.2,2023,9,5,19,46,1719,black_0007__10.0.11.2__202309051946__frame_001719.png,7
10.0.11.2,2023,10,20,5,46,1274,black_0008__10.0.11.2__202310200546__frame_001274.png,8
10.0.11.2,2023,7,31,14,46,807,black_0009__10.0.11.2__202307311446__frame_000807.png,9
10.0.11.2,2023,9,15,13,46,542,black_0010__10.0.11.2__202309151346__frame_000542.png,10
10.0.11.2,2023,11,3,4,46,1262,black_0011__10.0.11.2__202311030446__frame_001262.png,11
10.0.11.2,2023,8,20,0,48,1431,black_0012__10.0.11.2__202308200048__frame_001431.png,12
10.0.11.2,2023,7,5,12,46,1426,black_0013__10.0.11.2__202307051246__frame_001426.png,13
10.0.11.2,2023,10,7,6,46,638,black_0014__10.0.11.2__202310070646__frame_000638.png,14
10.0.11.2,2023,7,29,1,46,1161,black_0015__10.0.11.2__202307290146__frame_001161.png,15
10.0.11.2,2023,7,25,16,46,1410,black_0016__10.0.11.2__202307251646__frame_001410.png,16
10.0.11.2,2023,10,29,22,48,670,black_0017__10.0.11.2__202310292248__frame_000670.png,17
10.0.11.2,2023,8,25,18,46,1204,black_0018__10.0.11.2__202308251846__frame_001204.png,18
10.0.11.2,2023,7,6,20,46,642,black_0019__10.0.11.2__202307062046__frame_000642.png,19
10.0.11.2,2023,11,1,2,46,226,black_0020__10.0.11.2__202311010246__frame_000226.png,20
10.0.11.2,2023,7,27,21,46,1256,black_0021__10.0.11.2__202307272146__frame_001256.png,21
10.0.11.2,2023,7,10,17,48,1479,black_0022__10.0.11.2__202307101748__frame_001479.png,22
10.0.11.2,2023,8,25,9,46,119,black_0023__10.0.11.2__202308250946__frame_000119.png,23
10.0.11.2,2023,10,18,8,46,739,black_0024__10.0.11.2__202310180846__frame_000739.png,24
10.0.11.2,2023,10,4,6,46,1427,black_0025__10.0.11.2__202310040646__frame_001427.png,25
10.0.11.2,2023,7,19,10,46,1422,black_0026__10.0.11.2__202307191046__frame_001422.png,26
10.0.11.2,2023,8,5,7,46,719,black_0027__10.0.11.2__202308050746__frame_000719.png,27
10.0.11.2,2023,9,2,22,46,144,black_0028__10.0.11.2__202309022246__frame_000144.png,28
10.0.11.2,2023,9,26,14,48,160,black_0029__10.0.11.2__202309261448__frame_000160.png,29
10.0.11.2,2023,10,18,17,46,1398,black_0030__10.0.11.2__202310181746__frame_001398.png,30
10.0.11.2,2023,10,30,16,46,465,black_0031__10.0.11.2__202310301646__frame_000465.png,31
10.0.11.2,2023,8,9,13,46,424,black_0032__10.0.11.2__202308091346__frame_000424.png,32
10.0.11.2,2023,10,12,5,46,643,black_0033__10.0.11.2__202310120546__frame_000643.png,33
10.0.11.2,2023,7,27,19,46,841,black_0034__10.0.11.2__202307271946__frame_000841.png,34
10.0.11.2,2023,8,24,23,48,204,black_0035__10.0.11.2__202308242348__frame_000204.png,35
10.0.11.2,2023,9,14,8,46,671,black_0036__10.0.11.2__202309140846__frame_000671.png,36
10.0.11.2,2023,7,29,9,46,1227,black_0037__10.0.11.2__202307290946__frame_001227.png,37
10.0.11.2,2023,9,24,2,46,776,black_0038__10.0.11.2__202309240246__frame_000776.png,38
10.0.11.2,2023,8,30,4,46,15,black_0039__10.0.11.2__202308300446__frame_000015.png,39
10.0.11.2,2023,8,20,21,46,50,black_0040__10.0.11.2__202308202146__frame_000050.png,40
10.0.11.2,2023,8,21,12,46,1652,black_0041__10.0.11.2__202308211246__frame_001652.png,41
10.0.11.2,2023,9,25,11,46,611,black_0042__10.0.11.2__202309251146__frame_000611.png,42
10.0.11.2,2023,7,2,20,46,366,black_0043__10.0.11.2__202307022046__frame_000366.png,43
10.0.11.2,2023,10,29,1,46,600,black_0044__10.0.11.2__202310290146__frame_000600.png,44
10.0.11.2,2023,8,28,15,46,768,black_0045__10.0.11.2__202308281546__frame_000768.png,45
10.0.11.2,2023,7,31,3,49,1608,black_0046__10.0.11.2__202307310349__frame_001608.png,46
10.0.11.2,2023,8,2,0,46,883,black_0047__10.0.11.2__202308020046__frame_000883.png,47
10.0.11.2,2023,8,30,18,46,840,black_0048__10.0.11.2__202308301846__frame_000840.png,48
10.0.11.2,2023,7,8,2,46,669,black_0049__10.0.11.2__202307080246__frame_000669.png,49
10.0.11.2,2023,9,9,20,46,536,black_0050__10.0.11.2__202309092046__frame_000536.png,50
10.0.12.2,2023,7,5,21,48,987,black_0051__10.0.12.2__202307052148__frame_000987.png,51
10.0.12.2,2023,7,18,12,48,1348,black_0052__10.0.12.2__202307181248__frame_001348.png,52
10.0.12.2,2023,10,14,7,49,742,black_0053__10.0.12.2__202310140749__frame_000742.png,53
10.0.12.2,2023,9,27,16,46,443,black_0054__10.0.12.2__202309271646__frame_000443.png,54
10.0.12.2,2023,7,24,14,48,1509,black_0055__10.0.12.2__202307241448__frame_001509.png,55
10.0.12.2,2023,7,4,0,48,164,black_0056__10.0.12.2__202307040048__frame_000164.png,56
10.0.12.2,2023,9,23,8,48,345,black_0057__10.0.12.2__202309230848__frame_000345.png,57
10.0.12.2,2023,8,26,15,46,353,black_0058__10.0.12.2__202308261546__frame_000353.png,58
10.0.12.2,2023,7,12,1,48,1780,black_0059__10.0.12.2__202307120148__frame_001780.png,59
10.0.12.2,2023,8,24,10,46,17,black_0060__10.0.12.2__202308241046__frame_000017.png,60
10.0.12.2,2023,10,17,20,46,1092,black_0061__10.0.12.2__202310172046__frame_001092.png,61
10.0.12.2,2023,9,20,18,48,722,black_0062__10.0.12.2__202309201848__frame_000722.png,62
10.0.12.2,2023,7,6,11,46,344,black_0063__10.0.12.2__202307061146__frame_000344.png,63
10.0.12.2,2023,8,5,2,48,915,black_0064__10.0.12.2__202308050248__frame_000915.png,64
10.0.12.2,2023,8,22,17,46,1131,black_0065__10.0.12.2__202308221746__frame_001131.png,65
10.0.12.2,2023,7,22,22,46,386,black_0066__10.0.12.2__202307222246__frame_000386.png,66
10.0.12.2,2023,9,1,5,46,369,black_0067__10.0.12.2__202309010546__frame_000369.png,67
10.0.12.2,2023,9,16,9,46,185,black_0068__10.0.12.2__202309160946__frame_000185.png,68
10.0.12.2,2023,9,26,6,48,1623,black_0069__10.0.12.2__202309260648__frame_001623.png,69
10.0.12.2,2023,8,12,4,48,503,black_0070__10.0.12.2__202308120448__frame_000503.png,70
10.0.12.2,2023,8,12,13,48,178,black_0071__10.0.12.2__202308121348__frame_000178.png,71
10.0.12.2,2023,9,18,19,48,1166,black_0072__10.0.12.2__202309181948__frame_001166.png,72
10.0.12.2,2023,7,26,3,46,1216,black_0073__10.0.12.2__202307260346__frame_001216.png,73
10.0.12.2,2023,10,23,23,46,1613,black_0074__10.0.12.2__202310232346__frame_001613.png,74
10.0.12.2,2023,7,10,16,48,1240,black_0075__10.0.12.2__202307101648__frame_001240.png,75
10.0.12.2,2023,9,23,10,48,807,black_0076__10.0.12.2__202309231048__frame_000807.png,76
10.0.12.2,2023,10,20,0,48,1702,black_0077__10.0.12.2__202310200048__frame_001702.png,77
10.0.12.2,2023,8,30,12,48,81,black_0078__10.0.12.2__202308301248__frame_000081.png,78
10.0.12.2,2023,7,12,21,48,839,black_0079__10.0.12.2__202307122148__frame_000839.png,79
10.0.12.2,2023,10,31,11,48,0,black_0080__10.0.12.2__202310311148__frame_000000.png,80
10.0.12.2,2023,8,28,23,46,1701,black_0081__10.0.12.2__202308282346__frame_001701.png,81
10.0.12.2,2023,9,23,14,46,1695,black_0082__10.0.12.2__202309231446__frame_001695.png,82
10.0.12.2,2023,9,21,4,48,1189,black_0083__10.0.12.2__202309210448__frame_001189.png,83
10.0.12.2,2023,9,21,22,48,881,black_0084__10.0.12.2__202309212248__frame_000881.png,84
10.0.12.2,2023,9,19,2,46,379,black_0085__10.0.12.2__202309190246__frame_000379.png,85
10.0.12.2,2023,8,23,13,48,977,black_0086__10.0.12.2__202308231348__frame_000977.png,86
10.0.12.2,2023,10,22,20,48,1325,black_0087__10.0.12.2__202310222048__frame_001325.png,87
10.0.12.2,2023,7,8,7,48,38,black_0088__10.0.12.2__202307080748__frame_000038.png,88
10.0.12.2,2023,7,23,1,48,1258,black_0089__10.0.12.2__202307230148__frame_001258.png,89
10.0.12.2,2023,7,22,18,46,102,black_0090__10.0.12.2__202307221846__frame_000102.png,90
10.0.12.2,2023,9,10,15,48,1177,black_0091__10.0.12.2__202309101548__frame_001177.png,91
10.0.12.2,2023,7,24,9,46,503,black_0092__10.0.12.2__202307240946__frame_000503.png,92
10.0.12.2,2023,7,24,3,48,1562,black_0093__10.0.12.2__202307240348__frame_001562.png,93
10.0.12.2,2023,7,2,6,48,1103,black_0094__10.0.12.2__202307020648__frame_001103.png,94
10.0.12.2,2023,7,5,17,48,275,black_0095__10.0.12.2__202307051748__frame_000275.png,95
10.0.12.2,2023,7,6,8,48,610,black_0096__10.0.12.2__202307060848__frame_000610.png,96
10.0.12.2,2023,8,20,19,48,191,black_0097__10.0.12.2__202308201948__frame_000191.png,97
10.0.12.2,2023,7,8,5,48,1212,black_0098__10.0.12.2__202307080548__frame_001212.png,98
10.0.12.2,2023,10,31,10,48,782,black_0099__10.0.12.2__202310311048__frame_000782.png,99
10.0.12.2,2023,7,1,6,48,1423,black_0100__10.0.12.2__202307010648__frame_001423.png,100
10.0.16.2,2023,10,21,22,46,1407,black_0101__10.0.16.2__202310212246__frame_001407.png,101
10.0.16.2,2023,7,1,10,46,1366,black_0102__10.0.16.2__202307011046__frame_001366.png,102
10.0.16.2,2023,10,26,19,46,140,black_0103__10.0.16.2__202310261946__frame_000140.png,103
10.0.16.2,2023,10,31,16,46,608,black_0104__10.0.16.2__202310311646__frame_000608.png,104
10.0.16.2,2023,8,31,5,48,780,black_0105__10.0.16.2__202308310548__frame_000780.png,105
10.0.16.2,2023,7,30,6,48,1012,black_0106__10.0.16.2__202307300648__frame_001012.png,106
10.0.16.2,2023,10,7,7,48,419,black_0107__10.0.16.2__202310070748__frame_000419.png,107
10.0.16.2,2023,9,2,17,48,1,black_0108__10.0.16.2__202309021748__frame_000001.png,108
10.0.16.2,2023,9,7,9,48,1392,black_0109__10.0.16.2__202309070948__frame_001392.png,109
10.0.16.2,2023,7,21,13,48,146,black_0110__10.0.16.2__202307211348__frame_000146.png,110
10.0.16.2,2023,9,19,14,46,852,black_0111__10.0.16.2__202309191446__frame_000852.png,111
10.0.16.2,2023,10,10,8,48,1401,black_0112__10.0.16.2__202310100848__frame_001401.png,112
10.0.16.2,2023,10,4,20,48,356,black_0113__10.0.16.2__202310042048__frame_000356.png,113
10.0.16.2,2023,10,8,15,48,767,black_0114__10.0.16.2__202310081548__frame_000767.png,114
10.0.16.2,2023,10,3,21,48,605,black_0115__10.0.16.2__202310032148__frame_000605.png,115
10.0.16.2,2023,10,22,18,48,230,black_0116__10.0.16.2__202310221848__frame_000230.png,116
10.0.16.2,2023,10,30,2,48,1089,black_0117__10.0.16.2__202310300248__frame_001089.png,117
10.0.16.2,2023,8,16,23,46,424,black_0118__10.0.16.2__202308162346__frame_000424.png,118
10.0.16.2,2023,10,20,3,48,536,black_0119__10.0.16.2__202310200348__frame_000536.png,119
10.0.16.2,2023,8,28,0,46,55,black_0120__10.0.16.2__202308280046__frame_000055.png,120
